Respondent,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,WebFrameWorkedWith,MiscTechWorkedWith
21216,C;C++;HTML/CSS;JavaScript;PHP;Python;VBA,Firebase,Android;Google Cloud Platform,jQuery;Laravel,
21228,HTML/CSS;Java;JavaScript;Python,MySQL;PostgreSQL,Android;AWS;Linux;Microsoft Azure;Slack;Windows,jQuery;React.js,React Native
21241,C;C++;Java;Kotlin,Firebase;SQLite,Android,Angular/Angular.js,
21257,C++;C#;Java;Objective-C,Firebase;SQLite,Android;iOS,,TensorFlow
21271,Clojure;HTML/CSS;JavaScript;PHP;TypeScript;Other(s):,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,AWS;Linux;Microsoft Azure,Express;jQuery;Laravel,Node.js
21274,HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;Oracle,Linux;Windows,jQuery;Spring,
21275,C++;SQL,MySQL,Windows,,.NET
21284,Python,,,,
21310,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL,MongoDB;Microsoft SQL Server;MySQL;Oracle,Android;Arduino;Google Cloud Platform;Windows,ASP.NET;Laravel,Hadoop;.NET;.NET Core
21312,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;WebAssembly,Elasticsearch;Firebase;MongoDB;MySQL,Android;Arduino;AWS;iOS;Linux;MacOS;Raspberry Pi;Windows,Angular/Angular.js;Express;jQuery,Apache Spark;Hadoop;Node.js;TensorFlow
21316,C;C++,MySQL,Linux,,
21331,HTML/CSS;Java;JavaScript;Python;TypeScript,PostgreSQL,Linux;MacOS;Windows,Angular/Angular.js;Django,
21334,C;HTML/CSS;Java,,Windows,Express,Node.js
21354,JavaScript,Cassandra;Firebase;MongoDB;Redis,,Angular/Angular.js;Express;jQuery;React.js;Vue.js,
21358,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python,Couchbase;Elasticsearch;MySQL;PostgreSQL;Redis,AWS;Docker;Kubernetes;Linux;MacOS;Slack,Angular/Angular.js;Django;jQuery,Ansible;Node.js
21361,Java;Objective-C;Swift,Firebase;SQLite,iOS,,
21370,C;HTML/CSS;Java;JavaScript;Python;R;Ruby;SQL,DynamoDB;MySQL,Arduino;AWS;Linux;Slack;Windows;WordPress,Django;React.js;Ruby on Rails,
21383,C;C++;HTML/CSS;JavaScript;PHP;SQL,Firebase;MongoDB;MySQL,Arduino;Linux,React.js,Node.js
21395,C#;HTML/CSS;JavaScript;SQL;TypeScript,MySQL,Microsoft Azure;Windows,Angular/Angular.js;ASP.NET;jQuery,.NET;.NET Core;Node.js
21398,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python,Couchbase;DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite;Other(s):,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Windows,jQuery;Spring,Ansible;Apache Spark;Hadoop;Node.js
21405,C;HTML/CSS;JavaScript;TypeScript,Firebase;MySQL;SQLite,MacOS;Slack,Angular/Angular.js;Express;Flask;React.js,
21406,C;C++;HTML/CSS;Java;JavaScript;PHP,MongoDB;MySQL,Heroku,Angular/Angular.js;Express;jQuery,Node.js
21410,C++;Python;SQL,MySQL,,,
21429,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL,Linux,Django;jQuery;Spring,
21440,HTML/CSS;PHP;SQL,MySQL,Windows,jQuery,
21444,JavaScript;PHP;SQL,MySQL;Other(s):,AWS,Laravel;React.js;Vue.js,Node.js;React Native
21454,,Elasticsearch;MongoDB;Microsoft SQL Server;Redis,AWS;Google Cloud Platform;Microsoft Azure;Slack,Angular/Angular.js;ASP.NET;jQuery;React.js,.NET;Node.js
21460,Java;PHP;SQL,MySQL;SQLite,Android;Linux;WordPress,,
21469,C#;HTML/CSS;JavaScript,Couchbase;DynamoDB;MongoDB;Microsoft SQL Server,Android;AWS;Windows,Angular/Angular.js;ASP.NET;jQuery,.NET
21502,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Android;AWS;Heroku;IBM Cloud or Watson;Linux;Slack,Express;jQuery,Node.js
21509,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;TypeScript;WebAssembly,DynamoDB;MongoDB;MySQL,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;Linux,Express;jQuery,Cordova;Node.js;React Native
21512,C,,Linux,Angular/Angular.js;jQuery,
21517,Assembly;C#;HTML/CSS;Java;JavaScript;R;SQL;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Windows,Angular/Angular.js;ASP.NET;jQuery,.NET;.NET Core;Node.js
21519,,,,,
21554,Bash/Shell/PowerShell;C;C++,PostgreSQL;SQLite,Linux,,
21561,C#;HTML/CSS;TypeScript,MongoDB,Windows,Angular/Angular.js;ASP.NET,Hadoop;.NET
21563,Go;HTML/CSS;Java;JavaScript;Python;SQL,Oracle,Android;Linux;Windows,jQuery,TensorFlow
21564,C;Objective-C;Python;Swift,,iOS;MacOS;Raspberry Pi,,TensorFlow;Torch/PyTorch
21593,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MySQL;Oracle,Windows,,
21604,C;C++;HTML/CSS;Java;JavaScript;SQL,Firebase;MongoDB;Microsoft SQL Server;MySQL;Oracle,AWS,Spring,
21615,HTML/CSS;Java;JavaScript;SQL;TypeScript,MySQL;PostgreSQL,Docker;Windows,Other(s):,Node.js
21620,C;C++;C#;HTML/CSS;Java;JavaScript;SQL,MySQL;PostgreSQL,,Angular/Angular.js;Other(s):,
21625,Java;JavaScript;PHP,Firebase;MongoDB;MySQL;SQLite,Android,Express,Node.js
21626,C#;Java,MySQL,Windows,ASP.NET,.NET
21628,Java;JavaScript;Scala;SQL,Oracle;PostgreSQL,,Spring,
21631,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;Python;R;SQL,Elasticsearch;MySQL;Oracle,Linux;Windows,,
21638,Assembly;C;C++;C#;Python,,Android;Arduino;Linux;Raspberry Pi,,
21639,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,MySQL,Android;AWS;Google Cloud Platform;Slack;Windows;WordPress,jQuery;Spring,
21662,HTML/CSS;JavaScript;PHP;Ruby;SQL,MariaDB;MongoDB;MySQL,AWS;Heroku;Linux;Windows;WordPress,jQuery;Laravel;Ruby on Rails,Node.js
21664,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,DynamoDB;MongoDB;PostgreSQL,Android;AWS;Linux;MacOS,Angular/Angular.js;Express;Flask;jQuery;React.js,Node.js;Pandas;React Native
21673,C;C#;HTML/CSS;JavaScript;SQL;VBA,Microsoft SQL Server,WordPress,Angular/Angular.js;ASP.NET,Hadoop;.NET;.NET Core;Node.js
21675,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,MySQL;Oracle,Android,Angular/Angular.js;jQuery;React.js,Cordova;Node.js
21676,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;Oracle;PostgreSQL,WordPress,Drupal;jQuery;Laravel,
21679,,,,,
21680,Bash/Shell/PowerShell;JavaScript,MongoDB;Redis,AWS,Express,Node.js
21681,C;C++;C#;Java;SQL,Firebase;MongoDB;Microsoft SQL Server;MySQL;Redis;SQLite,Windows,ASP.NET,.NET;.NET Core;React Native
21688,Java;JavaScript;PHP;Python,Couchbase;Elasticsearch;MongoDB;MySQL,AWS;Docker;Linux;MacOS;Slack,Spring,
21692,C;HTML/CSS;Java;JavaScript;TypeScript,Firebase;MongoDB;MySQL;Oracle;SQLite,Android;AWS;Linux;Slack;Windows,Angular/Angular.js;Express;jQuery,Node.js
21707,Objective-C;Swift,SQLite,iOS;MacOS,,
21715,C#;HTML/CSS;Java;JavaScript;PHP;TypeScript,MongoDB;Microsoft SQL Server,AWS;Docker;Linux;Windows,Angular/Angular.js;ASP.NET;Express;jQuery;React.js,.NET;.NET Core;Node.js
21722,Java;PHP,Firebase;MySQL;SQLite,Android,,
21731,Bash/Shell/PowerShell;Java;VBA,MySQL;Oracle,Docker;Linux;MacOS;Windows,,Node.js;Other(s):
21741,JavaScript;TypeScript,Firebase,Android;iOS,React.js,React Native
21748,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,AWS;Linux,Angular/Angular.js;Express;Laravel;React.js,
21749,C;C++;Dart;HTML/CSS;Java;JavaScript;Python,Firebase;MySQL;SQLite,Android;Windows,Django;React.js,Flutter;Node.js;React Native
21765,C#;HTML/CSS;JavaScript,Firebase;MongoDB;Microsoft SQL Server;Redis,Android;Heroku;Linux,ASP.NET;jQuery;React.js,.NET;Node.js
21772,C#,Firebase,Android;iOS;Slack,,Unity 3D
21789,C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Firebase;Microsoft SQL Server;MySQL,Android;Arduino,,Pandas
21799,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,Firebase;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Android;Linux;MacOS;Windows,Angular/Angular.js;Django;Ruby on Rails,Pandas
21803,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,Windows;Other(s):,jQuery,
21807,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,AWS;Microsoft Azure,Angular/Angular.js;ASP.NET,.NET;Node.js
21816,HTML/CSS;JavaScript;PHP,MySQL,Linux,jQuery,
21818,C;C++;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Linux;MacOS,jQuery;Ruby on Rails,Ansible;Chef
21836,C;C++,,Windows,,
21848,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Cassandra;MariaDB;MongoDB;MySQL,Android;AWS;Docker;iOS;Linux;MacOS;Slack;Windows;WordPress,Express;jQuery;Laravel,Cordova;Hadoop;Node.js;Unity 3D
21862,C;C++;Java;Kotlin;Ruby;SQL,MariaDB;MySQL;SQLite,Android;Docker;Kubernetes;Linux;MacOS;Slack;Windows,Laravel,Node.js
21863,Assembly;Bash/Shell/PowerShell;C;C++;Java,Oracle;PostgreSQL,Linux,,.NET
21866,Java,Firebase;MySQL,Android;Linux;Windows,,
21875,HTML/CSS;JavaScript;PHP,MongoDB;MySQL,Linux;MacOS;Slack;Windows,Angular/Angular.js;jQuery;React.js,
21883,HTML/CSS;JavaScript,PostgreSQL,Linux;Windows,Angular/Angular.js;React.js,.NET
21885,Assembly;C;HTML/CSS;Java;JavaScript;PHP;SQL,Firebase;MongoDB;MySQL,Arduino;Heroku;Linux;WordPress,Angular/Angular.js;Express;React.js;Vue.js,Node.js
21891,Java;JavaScript,MySQL;Redis;SQLite,Android;AWS;Google Cloud Platform;Linux,,
21896,Python;R;SQL,SQLite,Windows,,Pandas;TensorFlow
21905,Assembly;Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python,Cassandra;Elasticsearch;Firebase;MongoDB;MySQL;Redis;SQLite,Android;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Slack;Windows,Angular/Angular.js;Django;Express;jQuery;React.js;Spring,Apache Spark;Cordova;Node.js;TensorFlow
21937,HTML/CSS;JavaScript;PHP;SQL,MySQL,Linux;WordPress,jQuery;Laravel,
21945,Assembly;Bash/Shell/PowerShell,PostgreSQL,AWS;Linux;Windows,,
21963,HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript;Other(s):,MongoDB;Microsoft SQL Server;MySQL;Oracle;Other(s):,AWS;Docker,Angular/Angular.js;jQuery;Spring,Apache Spark;Hadoop
21970,HTML/CSS;JavaScript;PHP,Elasticsearch;MySQL;Redis,Linux;Windows;WordPress,jQuery,
21979,HTML/CSS;Java;JavaScript;Python;Swift,Elasticsearch;Firebase;SQLite,Android;Arduino;Google Cloud Platform;iOS;Linux;MacOS,Django,Node.js;Pandas;TensorFlow;Torch/PyTorch
21980,C#;HTML/CSS;JavaScript,Microsoft SQL Server;MySQL,Android;Windows,Angular/Angular.js;ASP.NET,Hadoop;.NET;.NET Core;Xamarin
21983,C;C++;Java,SQLite,Android;Windows,,
21986,Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,Couchbase;Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack;Windows,Angular/Angular.js;Express;React.js,Ansible;Node.js;Puppet
21997,HTML/CSS;Java;JavaScript;PHP;SQL,MongoDB;MySQL,Android;Linux;Windows,Angular/Angular.js;Express;jQuery,Node.js
21999,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL;Oracle;SQLite,Android,jQuery,
22006,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Firebase;MariaDB;MongoDB;MySQL;Oracle;SQLite,Android;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;Windows;WordPress,Express;jQuery;React.js,Node.js;Pandas
22012,HTML/CSS;JavaScript;SQL;Other(s):,MongoDB,AWS;Docker;Linux;Microsoft Azure,Express;jQuery,
22013,Assembly;Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;SQL;Other(s):,Cassandra;Microsoft SQL Server;Oracle,Android;Arduino;Google Cloud Platform;IBM Cloud or Watson;Windows,jQuery,TensorFlow
22025,Bash/Shell/PowerShell;C;C++;Python;R,,Linux;MacOS;Raspberry Pi;Windows,,
22027,Java;SQL,MySQL;Other(s):,Windows,Angular/Angular.js,
22033,C++;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;SQLite,Google Cloud Platform;Linux;Windows,Angular/Angular.js;ASP.NET,
22046,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Firebase;MySQL;SQLite,Android;Arduino;Google Cloud Platform;Linux;Raspberry Pi;Slack;Windows;WordPress,Angular/Angular.js;Django;Flask;jQuery,
22078,JavaScript;PHP,MySQL,AWS;Linux;Other(s):,jQuery;Other(s):,
22101,HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,MySQL;Oracle;PostgreSQL,AWS;Docker;Google Cloud Platform;Linux;MacOS;Slack;Windows,Flask;jQuery,Apache Spark;Pandas;TensorFlow;Torch/PyTorch
22105,C#,Other(s):,Other(s):,Other(s):,Unity 3D
22121,HTML/CSS;JavaScript;Ruby;SQL;Swift,PostgreSQL;Redis,Docker;Linux;MacOS;Slack,Ruby on Rails,React Native
22122,Java;Python;Ruby,Elasticsearch;MySQL;Redis,AWS;Linux,Ruby on Rails;Spring,
22146,C#;Python,Microsoft SQL Server,AWS,ASP.NET,Apache Spark;.NET
22147,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Python,MongoDB;SQLite,Arduino;Docker;Kubernetes;Linux;Raspberry Pi;Windows,ASP.NET;Express;jQuery,.NET;Node.js
22155,Bash/Shell/PowerShell;Go;Ruby,Redis,Docker;Google Cloud Platform;Kubernetes;Linux;Slack;WordPress,Django,Ansible;Chef
22157,C;C++;HTML/CSS;Java;JavaScript;SQL;Swift,Couchbase;Firebase;MySQL;SQLite,Android;iOS;MacOS;Windows,jQuery,Cordova;React Native
22164,,,,,
22178,C;C++;HTML/CSS;Java;PHP;SQL,MySQL,Android;Arduino;WordPress,Laravel;Spring,
22182,,,,,
22198,C;C++;C#;Clojure;Erlang;HTML/CSS;Java;JavaScript;Objective-C;Scala;Swift;TypeScript,Cassandra;DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,AWS;Docker;Kubernetes;Linux;Slack,Angular/Angular.js;jQuery;Spring,Hadoop
22200,C++;Python,,Linux,,
22201,HTML/CSS;JavaScript;Python;Scala,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi,Angular/Angular.js;Django;Flask,Apache Spark;Pandas;TensorFlow
22207,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;R;Scala,DynamoDB,Docker;Linux,Django;jQuery,Apache Spark;Hadoop;Pandas
22230,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;R,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Linux,Flask,
22237,Java;JavaScript;SQL,Oracle,Linux;Windows,Spring,
22249,C++;HTML/CSS;Python;SQL,,Windows,,
22252,Bash/Shell/PowerShell;HTML/CSS;PHP;SQL;Other(s):,MySQL;Oracle;Other(s):,AWS;Linux;Windows;Other(s):,jQuery;Laravel,
22256,Python;Other(s):,,,,TensorFlow
22303,C;C++;Python,Microsoft SQL Server;MySQL;Oracle,Microsoft Azure;Windows,,Torch/PyTorch
22335,,,,,
22349,Java;JavaScript;Python;SQL,MongoDB;MySQL;Redis,AWS;Docker;Kubernetes;Linux;MacOS;Slack,Ruby on Rails;Spring,Node.js
22389,Bash/Shell/PowerShell;JavaScript;PHP;SQL,MongoDB;MySQL,AWS;Heroku;Linux;Slack,Express;Laravel,Node.js
22436,Java,MongoDB;SQLite,Android;AWS,,
22443,C#;HTML/CSS;Java;JavaScript,Firebase;Microsoft SQL Server;SQLite,Android,ASP.NET;jQuery,
22457,C;C++;Python;VBA,,Linux;Windows,,
22460,C;C++;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,MongoDB;Microsoft SQL Server;MySQL;Oracle,,Angular/Angular.js;Express,Node.js
22472,C;C++;C#;HTML/CSS;Java;JavaScript;SQL;VBA,Microsoft SQL Server,Android;AWS;Linux;Windows,Angular/Angular.js;ASP.NET;jQuery;React.js,Cordova;.NET;Xamarin
22496,C;Java;Python,Microsoft SQL Server,Android;Arduino;IBM Cloud or Watson;Linux;Windows,,.NET
22503,Assembly;C;C++;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Oracle;SQLite,Android;Linux;Windows,jQuery,Node.js
22520,Bash/Shell/PowerShell;C++;JavaScript,MongoDB;SQLite,AWS;Docker;Linux;Slack;Windows,Express,Node.js
22524,HTML/CSS;JavaScript;Ruby;SQL,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Heroku;Linux;WordPress,Angular/Angular.js;jQuery;Ruby on Rails,
22545,Bash/Shell/PowerShell;Java;SQL,MySQL,Google Cloud Platform;Linux,Spring,Hadoop
22551,C;HTML/CSS;Objective-C;VBA,,Raspberry Pi,,
22553,C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,MongoDB;SQLite,Heroku;Linux;MacOS;Slack;Windows,Angular/Angular.js;Django;Flask;jQuery;React.js;Ruby on Rails;Spring,Hadoop;Node.js
22554,C#,Elasticsearch;MongoDB;Microsoft SQL Server,Windows,ASP.NET,.NET
22556,HTML/CSS;Java;Kotlin;PHP;Python,Firebase;MySQL;SQLite,Android;Linux,,Pandas
22565,Assembly;HTML/CSS;Java;JavaScript;PHP;Ruby;SQL,Elasticsearch;MySQL;Redis,AWS;Linux;Microsoft Azure;Raspberry Pi;WordPress,jQuery;Ruby on Rails,Unity 3D
22570,C#;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;Redis,AWS;Windows,ASP.NET;jQuery,.NET
22572,Assembly,,,,
22590,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL,Docker;Linux,Flask;jQuery,Ansible
22607,Bash/Shell/PowerShell;JavaScript;Python,Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite,AWS;Docker;Heroku;IBM Cloud or Watson;Kubernetes;Linux,Django;Flask;jQuery,
22611,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,AWS;Linux;Slack;Windows;WordPress,Django;jQuery;Laravel;Vue.js,
22625,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;Other(s):,MySQL;PostgreSQL;Redis,AWS;Linux;Windows;WordPress,Angular/Angular.js;jQuery;Laravel,Cordova
22627,HTML/CSS;JavaScript,,AWS;Google Cloud Platform;Linux;MacOS;Slack,React.js,Node.js
22633,C;HTML/CSS;Java;PHP;Python,,Windows,,Unity 3D;Unreal Engine;Xamarin
22645,C#;HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;Microsoft SQL Server,AWS;Microsoft Azure;Windows,Angular/Angular.js;ASP.NET;Express;jQuery,.NET;.NET Core;Node.js
22646,Assembly;C#;HTML/CSS;JavaScript;SQL,MongoDB;Microsoft SQL Server;MySQL,Windows,Angular/Angular.js;ASP.NET;jQuery;React.js,.NET;Node.js
22652,Bash/Shell/PowerShell;Python;R;SQL,Microsoft SQL Server;MySQL,Windows,Other(s):,Pandas;TensorFlow
22654,HTML/CSS;JavaScript;Other(s):,MySQL;Oracle,Linux,Angular/Angular.js;Express,
22655,Ruby,Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Android;AWS;Docker;Heroku;iOS;Linux;MacOS;Slack;Windows;WordPress,ASP.NET;jQuery;React.js;Ruby on Rails,React Native
22678,Java;SQL,MySQL;PostgreSQL,AWS;Linux;Windows,Spring,
22682,C;C++;Java;JavaScript;SQL,Cassandra;MySQL;Oracle,Windows,,
22686,Bash/Shell/PowerShell;Java;JavaScript;SQL,MySQL;Oracle,AWS;Windows,,
22697,HTML/CSS;JavaScript;PHP;SQL,Firebase,Slack,Angular/Angular.js;jQuery;React.js;Vue.js,Node.js
22716,HTML/CSS;Java;JavaScript;SQL,MySQL;Oracle;Other(s):,Linux;Windows,jQuery;Spring,
22725,C;HTML/CSS;JavaScript;PHP;SQL,MySQL;Oracle;SQLite,AWS;WordPress,Angular/Angular.js;Laravel;Vue.js,Apache Spark
22727,HTML/CSS;Java,Firebase;SQLite,Android;Arduino;MacOS;Slack;Windows,Angular/Angular.js,Cordova
22730,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;SQLite,Arduino;Heroku;IBM Cloud or Watson;Linux;Raspberry Pi;Windows;WordPress,ASP.NET;Django;Drupal;Flask;jQuery;React.js,Cordova;.NET;Pandas
22737,HTML/CSS;JavaScript;PHP,Firebase;MongoDB;MySQL,Android;Arduino;AWS;Docker;Linux;WordPress,jQuery;Vue.js,Flutter;Node.js
22740,Assembly;HTML/CSS;JavaScript,MongoDB,Heroku;Linux;Windows,Django;Express,Node.js
22749,HTML/CSS;Java;JavaScript;SQL;Swift;TypeScript,MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Android;AWS;Google Cloud Platform;iOS;Windows,Angular/Angular.js;Express,Node.js
22753,PHP,MySQL,AWS,ASP.NET,
22761,C;C++;HTML/CSS;JavaScript;TypeScript,Firebase;Microsoft SQL Server;MySQL;Oracle,Android;Linux;Windows,Angular/Angular.js,.NET;.NET Core
22769,HTML/CSS;JavaScript,,Docker;MacOS;Windows,jQuery;React.js;Vue.js,Node.js
22772,Assembly;Bash/Shell/PowerShell;C;C++;Java;Python;SQL,MariaDB;MongoDB;PostgreSQL;SQLite,Arduino;Linux;Raspberry Pi,,Node.js
22783,C;C++;HTML/CSS;JavaScript;Python;SQL,MongoDB;MySQL;SQLite,Heroku;Linux;Slack;Windows,Flask,Node.js;Pandas;TensorFlow
22786,Bash/Shell/PowerShell;C;C++;Python;SQL,SQLite,Linux,,TensorFlow;Torch/PyTorch
22792,Bash/Shell/PowerShell;C;C++;PHP;Python;R,MariaDB;MongoDB;Microsoft SQL Server;MySQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Linux;MacOS;Raspberry Pi;Slack;Windows,Laravel,Ansible;Apache Spark;Hadoop;Pandas;TensorFlow;Torch/PyTorch
22833,PHP,MySQL,Heroku;Windows,Flask;Other(s):,
22849,C#;JavaScript;SQL,Microsoft SQL Server;Oracle,Windows,ASP.NET;jQuery,.NET
22850,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript,Microsoft SQL Server,Microsoft Azure;Other(s):,ASP.NET;React.js,.NET;Node.js
22860,C;C++;HTML/CSS;JavaScript;PHP;SQL;Other(s):,,,,
22863,,Elasticsearch;MongoDB;PostgreSQL,Kubernetes,Angular/Angular.js;Express,Apache Spark;Node.js
22880,C;C++;JavaScript;Objective-C,Firebase;MySQL;SQLite,Android;iOS,,
22886,Bash/Shell/PowerShell;C;HTML/CSS;Java;PHP,MariaDB;MongoDB;MySQL,Android;AWS;Linux;Slack;Windows,ASP.NET;jQuery;Spring,Hadoop;.NET;Node.js
22895,Assembly;C;C++;Java;Python,,,,
22898,C++;Java;Objective-C,DynamoDB;MySQL;Oracle;PostgreSQL,AWS,,
22901,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Linux;Slack;Windows,Angular/Angular.js;ASP.NET;Express;jQuery,.NET;.NET Core;Node.js
22917,HTML/CSS;PHP;SQL,MySQL,,Drupal;jQuery;Laravel,
22920,Assembly;C;C++;C#;HTML/CSS;Java;PHP;Python;R;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Linux;Windows;WordPress,ASP.NET;jQuery,.NET;Pandas;TensorFlow;Torch/PyTorch
22925,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP,MongoDB,Android;Arduino;Linux;Windows,,
22937,C;C++;HTML/CSS;JavaScript;PHP;SQL,MySQL;Oracle;Redis;SQLite,Slack;Windows,jQuery;Laravel;Vue.js,
22950,C;C++;Java,SQLite,Android,,
22987,C;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Android;Arduino;Docker;Raspberry Pi;Slack,Django;Express;Flask;jQuery;Vue.js,Node.js
22993,HTML/CSS;Java;JavaScript;PHP;SQL,MySQL;Oracle,Android,,
23016,HTML/CSS;Java;JavaScript;SQL;TypeScript,Cassandra;PostgreSQL,Windows,Angular/Angular.js;Spring,Node.js
23018,C#;JavaScript;TypeScript,MongoDB;Microsoft SQL Server,Microsoft Azure;Windows,Angular/Angular.js;ASP.NET,.NET
23038,HTML/CSS;JavaScript;PHP;SQL,MySQL,Linux;MacOS;Slack;Windows;WordPress,jQuery;Laravel,
23051,C++;HTML/CSS;JavaScript;PHP;SQL,MySQL;Redis,Linux;Windows;WordPress,jQuery,
23060,Bash/Shell/PowerShell;C;C++;HTML/CSS;SQL,MySQL;Oracle,Google Cloud Platform;Linux;Microsoft Azure;Slack;Windows,,
23093,Bash/Shell/PowerShell;C++;HTML/CSS,MySQL,Linux;Windows,ASP.NET;Drupal,.NET Core
23102,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL,Raspberry Pi;Windows,,
23114,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Elasticsearch;Microsoft SQL Server;MySQL;Redis,Docker;Linux;Windows,jQuery;Spring,
23117,C#;HTML/CSS;JavaScript,Microsoft SQL Server;MySQL,Microsoft Azure;Windows,ASP.NET;jQuery,.NET
23123,HTML/CSS;JavaScript;PHP,MySQL,,jQuery,
23124,Bash/Shell/PowerShell;HTML/CSS;JavaScript,Firebase;MongoDB;PostgreSQL,Android;AWS;iOS;MacOS;Slack,Angular/Angular.js;Express,Cordova;Node.js
